Date,Open,High,Low,Close,Adj Close,Volume
05-10-18,227.960007,228.410004,220.580002,224.289993,224.289993,33580500
08-10-18,222.210007,224.800003,220.199997,223.770004,223.770004,29663900
09-10-18,223.639999,227.270004,222.25,226.869995,226.869995,26891000
10-10-18,225.460007,226.350006,216.050003,216.360001,216.360001,41990600
11-10-18,214.520004,219.5,212.320007,214.449997,214.449997,53124400
12-10-18,220.419998,222.880005,216.839996,222.110001,222.110001,40337900
15-10-18,221.160004,221.830002,217.270004,217.360001,217.360001,30791000
16-10-18,218.929993,222.990005,216.759995,222.149994,222.149994,29184000
17-10-18,222.300003,222.639999,219.339996,221.190002,221.190002,22885400
18-10-18,217.860001,219.740005,213,216.020004,216.020004,32581300
19-10-18,218.059998,221.259995,217.429993,219.309998,219.309998,33078700
22-10-18,219.789993,223.360001,218.940002,220.649994,220.649994,28792100
23-10-18,215.830002,223.25,214.699997,222.729996,222.729996,38767800
24-10-18,222.600006,224.229996,214.539993,215.089996,215.089996,40925500
25-10-18,217.710007,221.380005,216.75,219.800003,219.800003,29855800
26-10-18,215.899994,220.190002,212.669998,216.300003,216.300003,47258400
29-10-18,219.190002,219.690002,206.089996,212.240005,212.240005,45935500
30-10-18,211.149994,215.179993,209.270004,213.300003,213.300003,36660000
31-10-18,216.880005,220.449997,216.619995,218.860001,218.860001,38358900
